Date,PM2.5 Anand vihar,PM2.5 Bawana,PM2.5 DTU,PM2.5 Vivek Vihar
29-08-2016,64,0.0,0,0
30-08-2016,55.77,0.0,0,0
31-08-2016,29.89,0.0,0,0
01-09-2016,40.62,0.0,0,0
02-09-2016,54.84,0.0,0,0
03-09-2016,58.74,0.0,0,0
04-09-2016,81.54,0.0,0,0
05-09-2016,57.52,0.0,0,0
06-09-2016,61.31,0.0,0,0
07-09-2016,67.49,0.0,0,0
08-09-2016,65.64,0.0,0,0
09-09-2016,80.69,0.0,0,0
10-09-2016,56.26,0.0,0,0
11-09-2016,61.08,0.0,0,0
12-09-2016,54.19,0.0,0,0
13-09-2016,70.48,0.0,0,0
14-09-2016,50.06,0.0,0,0
15-09-2016,90.91,0.0,0,0
16-09-2016,88.1,0.0,0,0
17-09-2016,101.88,0.0,0,0
18-09-2016,95.12,0.0,0,0
19-09-2016,49.24,0.0,0,0
20-09-2016,0,0.0,0,0
21-09-2016,0,0.0,0,0
22-09-2016,17.25,0.0,0,0
23-09-2016,69.69,0.0,0,0
24-09-2016,55.99,0.0,0,0
25-09-2016,61.17,0.0,0,0
26-09-2016,107.42,0.0,0,0
27-09-2016,64.54,0.0,0,0
28-09-2016,112.76,0.0,0,0
29-09-2016,108.11,0.0,0,0
30-09-2016,109.29,0.0,0,0
01-10-2016,123.49,0.0,0,0
02-10-2016,89.8,0.0,0,0
03-10-2016,118.66,0.0,0,0
04-10-2016,193.32,0.0,0,0
05-10-2016,113.79,0.0,0,0
06-10-2016,154.74,0.0,0,0
07-10-2016,132.29,0.0,0,0
08-10-2016,186.89,0.0,0,0
09-10-2016,189.26,0.0,0,0
10-10-2016,172.77,0.0,0,0
11-10-2016,187.45,0.0,0,0
12-10-2016,133.47,0.0,0,0
13-10-2016,106.63,0.0,0,0
14-10-2016,119.65,0.0,0,0
15-10-2016,165.22,0.0,0,0
16-10-2016,174.77,0.0,0,0
17-10-2016,180.65,0.0,0,0
18-10-2016,206.98,0.0,0,0
19-10-2016,166.44,0.0,0,0
20-10-2016,167.49,0.0,0,0
21-10-2016,205.27,0.0,0,0
22-10-2016,165.44,0.0,0,0
23-10-2016,230.38,0.0,0,0
24-10-2016,209.15,0.0,0,0
25-10-2016,147.59,0.0,0,0
26-10-2016,257.92,0.0,0,0
27-10-2016,333.98,0.0,0,0
28-10-2016,392.89,0.0,0,0
29-10-2016,402.73,0.0,0,0
30-10-2016,357.39,0.0,0,0
31-10-2016,445.62,0.0,0,0
01-11-2016,445.27,0.0,0,0
02-11-2016,446.33,0.0,204.75,0
03-11-2016,432.93,0.0,488.29,0
04-11-2016,449.53,0.0,979.81,0
05-11-2016,391.67,0.0,966.43,0
06-11-2016,583.28,0.0,628.88,0
07-11-2016,550.79,0.0,458.11,0
08-11-2016,423.48,0.0,404.09,0
09-11-2016,440.98,0.0,397.73,0
10-11-2016,403.92,0.0,405.99,0
11-11-2016,399.51,0.0,335.96,0
12-11-2016,326.2,0.0,224.89,0
13-11-2016,274.66,0.0,232.89,0
14-11-2016,207.58,0.0,306.66,0
15-11-2016,312.04,0.0,349.1,0
16-11-2016,338.38,0.0,486.33,0
17-11-2016,237.53,0.0,250.99,0
18-11-2016,279.31,0.0,0,0
19-11-2016,287.02,0.0,0,0
20-11-2016,375.55,0.0,353.1,0
21-11-2016,343.28,0.0,198.91,0
22-11-2016,224.21,0.0,221.02,0
23-11-2016,240.77,0.0,288.24,0
24-11-2016,294.17,0.0,134.85,0
25-11-2016,137.2,0.0,121.27,0
26-11-2016,124.87,0.0,0,0
27-11-2016,157.3,0.0,464.42,0
28-11-2016,196.04,0.0,360.05,0
29-11-2016,375.46,0.0,300.33,0
30-11-2016,316.83,0.0,333.18,0
01-12-2016,371.74,0.0,320.66,0
02-12-2016,344.26,0.0,262.71,0
03-12-2016,274.56,0.0,300.52,0
04-12-2016,346.32,0.0,253.78,0
05-12-2016,311.17,0.0,446.74,0
06-12-2016,440.14,0.0,197.9,0
07-12-2016,330.49,0.0,383.8,0
08-12-2016,309.46,0.0,371.35,0
09-12-2016,409.22,0.0,282.92,0
10-12-2016,223.1,0.0,240.01,0
11-12-2016,276.18,0.0,276.44,0
12-12-2016,302.75,0.0,199.26,0
13-12-2016,236.66,0.0,174.26,0
14-12-2016,184.38,0.0,224.76,0
15-12-2016,197.22,0.0,258.92,0
16-12-2016,274.45,0.0,294.83,0
17-12-2016,274.62,0.0,260.65,0
18-12-2016,263.85,0.0,300.94,0
19-12-2016,277.7,0.0,216.95,0
20-12-2016,174.73,0.0,195.44,0
21-12-2016,162.98,0.0,244.21,0
22-12-2016,273.19,0.0,498.46,0
23-12-2016,534.88,0.0,450.82,0
24-12-2016,510.89,0.0,309.54,0
25-12-2016,272.83,0.0,205.47,0
26-12-2016,138.01,0.0,273.16,0
27-12-2016,241.55,0.0,329.79,0
28-12-2016,339.57,0.0,401.91,0
29-12-2016,368.08,0.0,269.1,0
30-12-2016,237.36,0.0,242.14,0
31-12-2016,230.61,0.0,232.22,0
01-01-2017,199.88,0.0,203.47,0
02-01-2017,257.12,0.0,287.74,0
03-01-2017,271.64,0.0,348.77,0
04-01-2017,270.12,0.0,239.7,0
05-01-2017,246.85,0.0,201.1,0
06-01-2017,189.35,0.0,150.97,0
07-01-2017,143.97,0.0,137.82,0
08-01-2017,145.13,0.0,146.32,0
09-01-2017,132.64,0.0,142.51,0
10-01-2017,105.32,0.0,214.36,0
11-01-2017,157.14,0.0,297.32,0
12-01-2017,272.62,0.0,303.96,0
13-01-2017,229.98,0.0,311.4,0
14-01-2017,0,0.0,266.99,0
15-01-2017,239.57,0.0,193.3,0
16-01-2017,177.37,0.0,142.52,0
17-01-2017,136.23,0.0,195.75,0
18-01-2017,180.21,0.0,161.82,0
19-01-2017,144.59,0.0,156.23,0
20-01-2017,115.52,0.0,300.01,0
21-01-2017,0,0.0,222.5,0
22-01-2017,0,0.0,183.24,0
23-01-2017,142.06,0.0,221.04,0
24-01-2017,245.55,0.0,225.46,0
25-01-2017,240.18,0.0,136.26,0
26-01-2017,128.59,0.0,79.61,0
27-01-2017,61.34,0.0,121.93,0
28-01-2017,110.45,0.0,136.71,0
29-01-2017,123.47,0.0,200.62,0
30-01-2017,208.01,0.0,238.4,0
31-01-2017,216.81,0.0,184.52,0
01-02-2017,146.56,0.0,224.7,0
02-02-2017,226.04,0.0,264.21,0
03-02-2017,215.02,0.0,234.95,0
04-02-2017,215.91,0.0,185.6,0
05-02-2017,166.48,0.0,159.67,0
06-02-2017,193.19,0.0,114.16,0
07-02-2017,82.4,0.0,167.82,0
08-02-2017,139.13,0.0,155.86,0
09-02-2017,154.06,0.0,156.74,0
10-02-2017,106.8,0.0,163.76,0
11-02-2017,139.81,0.0,155.04,0
12-02-2017,114.02,0.0,139.92,0
13-02-2017,123.38,0.0,204.94,0
