From Date,PM10,NO,NO2,WS,CO,Benzene,NOx,Ozone,SO2,NH3,Toluene,PM2.5
01-02-2019 16:00,380.69,102.67,74.45,0.97,1.15,9.79,123.21,16.9,9.75,26.52,53.35,255.16
02-02-2019 00:00,285.12,71.21,44.16,1.06,1.4,5.72,81.59,16.36,5.95,24.33,32.28,195.72
02-02-2019 08:00,319.69,108.64,69.34,1.1,1.08,6.86,125.42,24.27,6.81,20.87,35.68,197
02-02-2019 16:00,424.38,151.41,88.74,0.51,3.05,11.43,158.37,14.94,6.3,23.69,46.88,263.53
03-02-2019 00:00,200.56,71.29,41.08,0.52,3.27,5.87,79.97,15.13,6.14,28.21,36.05,144.78
03-02-2019 08:00,240.59,84.62,60.68,0.71,2.88,5.48,101.29,26.84,8.01,22.48,34.05,142.62
03-02-2019 16:00,419.16,166.3,85.34,0.32,3.14,10.25,181.02,15.98,9.94,21.24,50.44,198.06
04-02-2019 00:00,326.25,162.37,41.68,0.3,1.42,9.61,154.53,13.15,7.24,18.34,44.48,174.5
04-02-2019 08:00,341.06,53.45,140.43,0.55,2.15,10.54,118.27,35.11,11.21,54.83,45.7,181.09
04-02-2019 16:00,562.11,191.57,151.27,0.34,4.57,16.45,236.07,19.62,19.01,63.58,77.06,235.56
05-02-2019 00:00,884.79,490.9,132.67,0.3,5.23,30.57,472.48,108.97,20.81,90.12,184.46,535.66
05-02-2019 08:00,618.83,210.67,146.19,1.18,1.95,16.46,255.11,43.05,65.11,108.15,128.53,384.5
05-02-2019 16:00,671.44,308.96,134.22,0.4,3.77,15.68,323.26,17.99,27.74,61.53,73.84,280.78
06-02-2019 00:00,366.34,82.43,106.64,0.32,1.38,11.12,123.92,15.1,11.5,84.79,63.63,248.03
06-02-2019 08:00,239.69,39.12,81.73,2.04,1.41,7.92,75.35,33.44,14.24,80.01,49.28,167.06
06-02-2019 16:00,170.5,8.43,75.56,2.45,0.98,5.82,47.04,28.83,8.01,76.23,33.22,140.81
07-02-2019 00:00,None,3.48,40.42,2.93,0.61,3.61,24.33,33.14,5.56,54.52,28.02,90.97
07-02-2019 08:00,None,17.78,62.86,3.87,0.79,2.92,47.93,25.02,6.1,40.97,24.78,56.34
07-02-2019 16:00,None,129,99.91,1.15,0.97,5.25,158.48,13.97,8.39,35.6,48.51,65.19
08-02-2019 00:00,None,166,75.49,0.3,1.41,4.96,197.28,13.97,11.34,34.63,35.95,101.75
08-02-2019 08:00,None,176.55,121.21,1.13,1.44,6.7,213.02,29.73,14.57,36.13,38.26,119.91
08-02-2019 16:00,None,132.31,100.34,1.19,1.18,6.14,161.26,21.41,11.81,33.37,44,69
09-02-2019 00:00,None,83.13,70.4,1.37,0.74,3.94,105.17,20.95,10.17,34.42,31.19,79.97
09-02-2019 08:00,None,112.7,96.22,1.89,0.88,3.94,143.02,36.78,14.56,28.19,33.86,63.19
09-02-2019 16:00,None,243.54,136.3,0.62,2.33,8.22,271.08,18.77,19.08,30.16,49.75,95.41
10-02-2019 00:00,None,214.28,112.91,0.31,1.44,7.51,250.91,11.93,14.41,41.41,50.48,128.91
10-02-2019 08:00,None,161.44,123.21,1.23,1.33,5.38,197.11,33.48,20.17,38.67,37.93,109.97
10-02-2019 16:00,None,257.19,147.33,0.47,2.21,7.55,286.88,17.36,17.88,37.92,43.47,126.62
11-02-2019 00:00,None,312.93,105.4,0.31,2.08,10.76,337.98,15.1,11.35,52.28,57.9,191.97
