Temperature,Windspeed
19.767967,3.9073446
20.177975,4.821597
19.358738,4.1285625
19.898449,4.3900833
19.276104,3.8481047
20.601538,5.2312183
19.755991,4.174095
20.695568,5.120582
19.33831,4.163886
19.036718,4.4332175
20.279415,5.585844
20.582825,8.081006
20.073889,4.4319744
19.495602,3.9437313
20.424355,4.867515
20.778955,7.0226207
20.569609,4.865056
19.42889,4.027767
19.964157,4.8145037
20.807,7.2507453
19.645159,4.786755
19.713764,4.029558
19.261868,3.8371341
18.917942,4.1527524
19.538902,4.425299
18.944092,3.9287744
19.565145,4.339839
18.54686,4.0892134
19.636986,5.118401
19.99004,5.0810156
19.573479,4.35977
19.412941,3.7203124
20.881466,5.136223
19.89861,4.1347995
22.886436,10.479114
20.963158,5.4003043
20.54317,5.027354
21.476711,5.3550477
19.059994,4.2878227
19.631828,4.4795346
19.03584,4.0331726
18.19978,4.0881186
18.808159,4.8698187
18.872803,4.6801553
18.500134,4.119786
18.116432,4.099587
19.704231,5.6627965
18.991806,4.488751
19.696648,4.762767
19.893044,4.036901
20.676313,4.735362
23.237785,9.073977
23.193344,5.887019
22.672016,4.683464
22.243565,4.35907
20.79888,4.0109406
21.377024,4.8846455
20.592094,4.2066817
19.969254,3.7971306
21.559948,5.6056914
21.753962,6.126599
21.009724,4.5141706
22.61798,5.2507024
22.899931,5.5705314
22.44784,4.9951
22.891222,4.50124
22.233524,4.372607
20.739525,4.0439143
19.751005,3.784068
20.345451,4.5594444
20.713444,5.442908
19.777573,4.1129026
19.69551,4.0467906
20.48906,4.7584333
19.368689,4.0163016
21.67937,9.128636
22.41547,7.237973
20.846928,4.9316626
20.60711,4.2429852
19.669043,4.0841284
20.88866,9.697718
20.583858,6.0682445
23.734484,10.156658
25.222979,7.94387
23.611275,5.3930225
23.650621,4.7207446
22.926735,4.83017
21.086231,4.2801523
23.162806,6.9979525
22.615814,5.0004296
22.799894,5.1759496
24.003716,5.207909
23.676243,5.1564665
23.874397,4.7779517
23.735441,4.6101327
22.072374,4.330336
24.655294,9.348878
21.801655,5.57333
23.72127,10.581701
22.670353,5.881257
22.602089,8.505758
23.21578,4.985915
21.081223,4.3401575
24.520315,10.084245
23.422113,7.57168
25.151972,9.53713
25.54707,5.328232
26.043482,7.0390778
28.822945,9.964305
27.339567,8.094291
27.97393,6.7550564
26.74485,5.761743
23.970825,4.738585
23.476267,4.680847
23.705988,5.659223
26.373096,10.40121
27.531923,9.36803
29.850475,10.181383
30.01501,7.965664
28.578743,6.937877
29.233587,8.015859
29.468754,8.661953
30.069878,9.856064
30.847866,8.479994
30.955702,8.2987
29.398415,7.4545026
30.268078,9.261549
29.684235,8.646835
28.706875,8.217208
32.44765,11.071263
32.346153,10.708608
31.74435,10.0995245
31.511925,8.834448
30.599855,8.258926
32.088833,10.479587
33.68834,12.50822
32.79363,10.815743
32.5373,9.376858
32.411102,9.549741
30.846014,8.400071
30.379032,7.9626837
32.127136,10.485063
29.979086,8.618529
30.351982,9.003656
30.01546,8.429285
30.080786,9.675838
30.789366,8.5447445
31.101364,8.904186
31.757635,9.128891
32.78594,10.093688
30.849863,8.78176
30.907488,9.150724
30.675426,9.065403
28.996086,7.984465
32.03512,10.749748
30.627201,9.145619
30.033236,8.947488
29.137932,7.713885
28.30445,7.3007464
29.101234,8.481341
30.350471,10.929704
31.263914,9.383908
30.41912,8.102967
30.801119,8.852987
31.953617,10.572669
31.02943,9.952169
31.434204,8.799563
33.32,10.762913
33.739506,11.086578
32.795242,10.260291
34.131077,10.657588
31.759071,9.417449
30.881273,8.828125
31.244629,9.425691
29.903652,8.397363
29.592358,7.5956535
30.563347,8.971522
30.38822,8.539169
29.35778,8.023085
32.245964,10.955034
30.93699,9.662672
30.602884,9.762751
30.804453,8.523455
30.307161,8.163351
29.158096,7.319626
28.294321,6.680289
28.94196,7.874981
26.48592,5.8259478
27.437984,6.963791
27.003487,6.52225
23.657072,4.95287
25.188633,6.8808775
23.811747,5.6050286
24.937237,8.488879
28.723728,10.773838
27.689415,8.576071
